DCRAINTERNALNUMBER,ISSUE_DATE,PERMIT_ID,PERMIT_TYPE_NAME,PERMIT_SUBTYPE_NAME,PERMIT_CATEGORY_NAME,APPLICATION_STATUS_NAME,FULL_ADDRESS,DESC_OF_WORK,SSL,ZONING,PERMIT_APPLICANT,FEE_TYPE,FEES_PAID,OWNER_NAME,LASTMODIFIEDDATE,CITY,STATE,LATITUDE,LONGITUDE,ZIPCODE,MARADDRESSREPOSITORYID,DCSTATADDRESSKEY,DCSTATLOCATIONKEY,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
111004924,9/7/2011 12:00:00 AM,B1004924,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1905 9TH ST NE,"CONVERT DRY CLEANERS TO A CHILD DEVELOPMENT CENTER FOR THIRTY-FOUR (34) INFANTS AND TWELVE (12) STAFF BY ALTERATION AND REPAIR TO EXISTING FLOOR PLAN - MECHANICAL, PLUMBING AND  ELECTRICAL.",3863    0008,M,JIMI  ADE (AFO),100.00 (FILINGFEE); 456.00 (ALTREPAIR); 27.69 (GREENBLDG); 45.60 (AAREFEE),629,LYON'S MANE LP,5/1/2012 5:20:51 AM,WASHINGTON,DC,38.91674429796750,-76.99327022113250,20018,54411,28397,28397,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
111004926,9/13/2010 12:00:00 AM,B1004926,CONSTRUCTION,ALTERATION AND REPAIR,NA,COMPLETED,3513 JAY ST NE,LOAD CHANGE FOR EXISTING CHILD DEVELOPMENT CENTER WITH 15 INDIVIDUALS TO 25 INDIVIDUALS (MAXIMUM) AGE RANGE SHALL BE: 12 CHILDREN AGES-0 TO 2 1/2  YRS OLD AND 13 CHILDREN AGES 2 1/2 OLDER FOR A MAXIMUM OF 25 CHILDREN.  POD.,5057    0039,R-5-A,JANET  SMITH-COLE (AFO),33.00 (FILINGFEE); 37.00 (ALTREPAIR); 3.90 (GREENBLDG); 3.70 (AAREFEE),78,JAY STREET ASSOCIATES,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90571960557750,-76.95073043036670,20019,295235,131626,131626,7,7D,7D07,SIXTH,601,30,NONE,NONE,NONE,NONE
111004927,7/8/2010 12:00:00 AM,B1004927,CONSTRUCTION,ADDITION,NA,PERMIT ISSUED,3700 ALBEMARLE ST NW,CONSTRUCT A SECOND STORY ADDITION WITH A BATHROOM.,1889    0816,R-2,COLIN  CLARK (AFO),6.50 (GREENBLDG); 90.09 (ALTREPAIR); 9.01 (AAREFEE); 64.80 (FILINGFEE),170,PATRICIA T NIGHSWANDER,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.94773021443290,-77.07279483985760,20016,222600,65325,65325,3,3F,3F06,SECOND,202,11,NONE,NONE,NONE,NONE
111004928,5/24/2010 12:00:00 AM,B1004928,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,1160 1ST ST NE,REVISION TO EXISTING BUILDING PERMIT # B103793.,0673    0845,C-3-C,CARLOS  INGLESIAS (AFO),1967.00 (REVISION); 33.00 (REVISION),2000,ARCHSTONE NORTH CAPITOL HILL,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90516410051770,-77.00629127499650,20002,304584,406235,349380,6,6C,6C04,FIRST,103,25,NONE,NONE,NONE,NOMA BID
111004932,5/25/2010 12:00:00 AM,B1004932,CONSTRUCTION,ADDITION ALTERATION REPAIR,NA,COMPLETED,3825 WISCONSIN AVE NW,RENOVATION/ADDITION TO EXISTING 2-STORY BUILDING IN THE SAME BUILDING COMPLEX  WITH THE EXISTING 4-FLOOR SIDWELL FRIENDS SCHOOL. CONVERSION OF THE  EXISTING GYM INTO QUAKER MEETING HOUSE. LOWER LEVEL RENOVATION WILL CONVERT TO ARTS CLASSROOM SPACE PER THE SUBMITTED BZA # #17149 - 3/04/05.,1825    0816,R-1-B/C-2-A,CARLOS  INGLESIAS (AFO),50797.45 (FILINGFEE); 20430.96 (ALTREPAIR),71228,SIDWELL FRIENDS SCHOOL,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.939355095140,-77.07398000014550,20016,293241,130218,130218,3,3C,3C06,SECOND,203,15,NONE,NONE,NONE,NONE
111004941,8/11/2010 12:00:00 AM,B1004941,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1723 10TH ST NW,REPAIR WORK WITHIN FRENCH STREET PARK INCLUDING  THE PROJECT INCLUDES DEMOLITION  OF SLAB ON GRADE  CONSTRUCTION OF  A PERMEABLE PAVER PLAZA  DRAINAGE   WATER SERVICE  LIGHTING  LANDSCAPING.,0363    0099,R-4,BEREKET  MERZI (AFO),3815.00 (FILINGFEE); 3815.00 (FILINGFEE); 3815.00 (ALTREPAIR); 494.00 (GREENBLDG); 381.50 (AAREFEE),8506,DC DEPARTMENT OF PARKS AND RECREATION,5/1/2012 5:20:50 AM,WASHINGTON,DC,0,0,,0,471983,406223,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE,NONE
111004967,7/26/2010 12:00:00 AM,B1004967,CONSTRUCTION,ADDITION,NA,PERMIT ISSUED,1409 35TH ST NW,ONE STORY REAR ADDITION  RENEWAL OF PERMIT # B471956 (05 APRIL 05).,1246    0100,R-3,GEORGE  DELGADO (AFO),245.33 (ALTREPAIR); 13.25 (GREENBLDG); 26.84 (AAREFEE); 23.07 (FILINGFEE),308,EUGENIA KEMBLE,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90806289874470,-77.06879904568420,20007,272486,115638,115638,2,2E,2E03,SECOND,206,4,NONE,NONE,NONE,NONE
111004971,8/9/2010 12:00:00 AM,B1004971,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,445 12TH ST SW,REPLACE EXISTING MAIN FIRE ALARM SYSTEM CONTROL PANELS. INTERIOR WORK ONLY. NO NEW CIRCUITS OR DEVICES SHALL BE INSTALLED.,0299    0833,C-3-C,PAULA  MARGUES (AFO),229.82 (GREENBLDG); 1782.88 (ALTREPAIR); 1782.88 (FILINGFEE),3796,PARCEL 49C LIMITED PARTNERSHIP,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.88328595070360,-77.02851199398230,20554,276640,119034,119034,6,6D,6D01,FIRST,105,9,NONE,NONE,NONE,NONE
111005002,7/26/2010 12:00:00 AM,B1005002,CONSTRUCTION,ADDITION,NA,PERMIT ISSUED,5705 CHEVY CHASE PKWY NW,CONSTRUCT NEW SECOND (2ND) FLOOR ADDITION AND DECK AT REAR OF EXISTING SINGLE FAMILY DWELLING AS  PER  PLAT AND PLANS.,1999    0075,R-1-B,FRED  SHELTON (AFO),1425.59 (ALTREPAIR); 91.36 (GREENBLDG); 142.56 (AAREFEE); 47.52 (FILINGFEE),1707,MARGARET HANNAN,5/1/2012 5:20:50 AM,,,0,0,,-100,-100,348291,,NONE,NONE,,,NONE,NONE,NONE,NONE,NONE
111005007,4/19/2010 12:00:00 AM,B1005007,CONSTRUCTION,ALTERATION AND REPAIR,NA,COMPLETED,4838 TILDEN ST NW,BATH RENOVATION.,1504    0066,R-1-B,DAVID  HILL (AFO); CATHIE  HARRISON (AFO),190.58 (ALTREPAIR); 10.44 (GREENBLDG),201,LOUISE HILL TRUSTEE,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.94104052878680,-77.09605192403350,20016,266566,109096,109096,3,3D,3D03,SECOND,205,13,NONE,NONE,NONE,NONE
111005010,4/19/2010 12:00:00 AM,B1005010,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,5342 42ND ST NW,NEW CONCRETE PATIO  NEW STAIRS OF A EXISTING DECK  NEW 6' FENCE WITH GATES AND LANDSCAPING,1664    0138,R-2,COLIN  CLARK (AFO),150.00 (ALTREPAIR); 150.00 (ALTREPAIR); 33.00 (REVISION); 7.80 (GREENBLDG),191,ASHTON B CHRISTIAN,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.96054882576560,-77.08226919969880,20015,285169,123761,123761,3,3E,3E04,SECOND,202,11,NONE,NONE,NONE,NONE
111005013,5/25/2010 12:00:00 AM,B1005013,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,900 23RD ST NW,DEMOLITION/ALTERATION OF CATH ANEJO LAB  NO CHANGE OF USE,0040    0036,R-5-E,DAMON  ELLIS (AFO),2265.00 (FILINGFEE); 292.50 (GREENBLDG); 2265.00 (ALTREPAIR),4823,GEORGE WASHINGTON,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90131934088880,-77.05063668165530,20037,242349,85288,85288,2,2A,2A06,SECOND,207,5,NONE,NONE,NONE,NONE
111005021,5/6/2010 12:00:00 AM,B1005021,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1825 I ST NW,3RD FLOOR OFFICE RENOVATION "WILKES ARTIS" AS PER THE ATTACHED DWGS. INTERIOR WORK ONLY,0106    0049,C-4,JOHN  GIUSEPPE (AFO),462.00 (FILINGFEE); 58.11 (GREENBLDG); 462.00 (ALTREPAIR),982,CARR CRHP PROPERTIES LLC,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90164880248580,-77.04218078953420,20006,279418,121495,121495,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
111005022,6/21/2010 12:00:00 AM,B1005022,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,4400 MASSACHUSETTS AVE NW,"INSTALLATION OF A 505 KW MICRO-TURBINE ADVACENT TO THE UNIVERSITY  BOILER PLANT , INCLUDING CONSTRUCTION OF A SOUND ATTENUATING ROOM TO HOUSE THE TURBINE GENERATOR SET , AS WELL AS STEAM AND ELECTRICAL INTER CONNECTIONS AS PER PLAN AND PLAT.",1600    0001,D/R-5-A,JOHN  GIUSEPPE (AFO),0.21 (FILINGFEE); 108.69 (GREENBLDG); 851.05 (ALTREPAIR); 9.26 (AAREFEE); 92.61 (ALTREPAIR); 851.05 (FILINGFEE),1913,AMERICAN UNIVERSITY,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.93908175542180,-77.08841481823950,20016,223994,67320,67320,3,3D,3D02,SECOND,202,13,NONE,NONE,NONE,NONE
111005025,6/11/2010 12:00:00 AM,B1005025,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,2300 M ST NW,"RENOVATION TO PART OF 1ST FLOOR AND ALL OF 3RD THRU 7TH FLOORS, WITH NEW INTERIOR STAIR BETWEEN THE 5TH AND 7TH FLOORS AND NEW F.O.TANK, F.O. TANK ROOM, NEW XRAY MACHINE ENCLOSURE ROOM AND ASSOC. WORK ON P1 LEVEL. MECHANICAL EQUIPMENT AND EMG. GENERATOR LOCATED ON ROOF FOR THE GERMAN EMBASSY AS PER THE ATTACHED PLANS. APPROX. 76,000 SQ. FT.",0037    0853,,JOHN  GIUSEPPE (AFO); M STREET  PARTNERS HOLDINGS LLC (OWN),18187.50 (FILINGFEE); 18187.50 (ALTREPAIR); 18187.50 (ALTREPAIR); 2362.43 (GREENBLDG); 18187.50 (FILINGFEE); 135.00 (FILINGFEE),114121,M STREET PARTNERS HOLDINGS LLC,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90500496592130,-77.05055156235370,20037,243314,86243,86243,2,2A,2A02,SECOND,207,5,NONE,NONE,NONE,NONE
111005027,4/19/2010 12:00:00 AM,B1005027,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,4837 BENNING RD SE,INTERIOR DEMOLITION,5358    0803,C-2-A,KIDS SMILES DENTAL (AFO); PHILLIP  DUNHAM (AFO),28.60 (GREENBLDG); 470.00 (ALTREPAIR),499,KIDS SMILES DENTAL,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.88160378494030,-76.93353105009230,20019,16739,10566,10566,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
111005032,6/4/2010 12:00:00 AM,B1005032,CONSTRUCTION,ALTERATION AND REPAIR,NA,COMPLETED,620 MICHIGAN AVE NE,"INTERIOR ONLY ALTERATIONS AND REPAIRS TO EXISTING EDUCATIONAL FACILITY AT THE CATHOLIC UNIVERSITY OF AMERICA.  SCOPE OF WORK TO INCLUDE THE FOLLOWING: (SELECTIVE DEMOLITION. CONSTRUCTION OF NEW PARTITIONS, DOORS AND FLOOR FINISHES. MODIFICATIONS TO EXISTING HVAC, PLUMBING, LIGHTING AND ELECTRICAL SYSTEMS).",3821    0044,,THE CATHOLIC UNIVERSITY OF AMERICA (OWN),1103.00 (REVISION); 5515.00 (FILINGFEE); 5515.00 (ALTREPAIR); 715.00 (GREENBLDG),26483,CATHOLIC UNIVERSITY OF AMERICA,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.93282206704990,-76.99786191984810,20064,300821,160099,160099,5,5C,5C10,FOURTH,405,20,NONE,NONE,NONE,NONE
111005042,4/20/2010 12:00:00 AM,B1005042,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1776 LANIER PL NW UNIT 0001A,"REMOVE EXISTING FLAT ROOF MEMBRANE AND HUAL DEBRIS.  INSTALL NEW ROOF MEMBRANE ON ROOF, NEW METAL FLASHING, AND GUTTER.  ALL WORK TO REMAIN IN KIND.",2580    2001,R-5-B,MANNY7  CAMPOS (AFO),51.13 (GREENBLDG); 1227.87 (ALTREPAIR),1279,LINDE PROPERTIES LLC,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.92396000293240,-77.04248943837260,20009,284091,122928,122928,1,1C,1C04,THIRD,303,1,NONE,NONE,NONE,ADAMS MORGAN BID
111005058,4/22/2010 12:00:00 AM,B1005058,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,4636 WINDOM PL NW,REPAIR AND REPLACEMENT OF ROOF.  SHEATHING AND ASPHALT SHINKLES.,1553    0045,R-1-B,JOHN  SANET (AFO); DAMON  ELLIS (AFO),13.00 (GREENBLDG); 230.00 (ALTREPAIR),243,JOHN SANET,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.94534156951820,-77.09209411059310,20016,267291,110454,110454,3,3E,3E01,SECOND,202,11,NONE,NONE,NONE,NONE
111005060,5/12/2010 12:00:00 AM,B1005060,CONSTRUCTION,ALTERATION AND REPAIR,NA,COMPLETED,1000 VERMONT AVE NW,INTERIOR BUILDOUT OF TENANT SPACE ON THE 9TH FLOOR OF SUITE 910.      NO CHANGE OF USE,0216    0800,C-4,DAMON  ELLIS (AFO); JONES LANG LASELLE (AFO),64.35 (GREENBLDG); 510.00 (ALTREPAIR); 510.00 (FILINGFEE),1084,JONES LANG LASELLE,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90288761484120,-77.03393622407940,20005,240261,83559,83559,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
111005061,4/22/2010 12:00:00 AM,B1005061,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,2531 WATERSIDE DR NW,REPAIR AND REPLACEMENT OF ROOF.  SLATE SHINGLES TO EXACTLY MATCH EXISTING IN COLOR AND DIMENSION.,2500    0075,R-3,DAMON  ELLIS (AFO),13.00 (GREENBLDG); 263.00 (ALTREPAIR),276,ELEONORE WOTHERSPOON,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.91582165482460,-77.05717176988460,20008,218856,61957,61957,2,2D,2D02,SECOND,208,1,NONE,NONE,NONE,NONE
111005067,6/7/2010 12:00:00 AM,B1005067,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,200 C ST SE,INSTALL NEW FIRE ALARM SYSTEM,0762    0841,CAP/R-4,HARRIS  LANIER (AFO),635.00 (FILINGFEE); 63.50 (AAREFEE); 635.00 (ALTREPAIR); 80.60 (GREENBLDG),1414,AEW/WRIGHT DC OWNER LLC,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.88623170835030,-77.00307432150250,20003,278017,120169,120169,6,6B,6B01,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
111005084,7/22/2010 12:00:00 AM,B1005084,CONSTRUCTION,ALTERATION AND REPAIR,NA,COMPLETED,1125 H ST NE,"INTERIOR ALTERATION AND REPAIR FOR NEW RESTAURANT W/54 SEATS "KWAN'S BBQ".  BUILDING MECHANICAL, ELECTRICAL, PLUMBING WORK SEE DRAWINGS.",0982    0823,HS/C-2-A,EDDIE  YOO (AFO),965.00 (FILINGFEE); 965.00 (ALTREPAIR); 123.50 (GREENBLDG); 96.50 (AAREFEE),2150,MILDRED K STERNBURG,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90001624287170,-76.99053834883910,20002,285875,124714,124714,6,6A,6A02,FIRST,104,25,NONE,NONE,NONE,NONE
111005089,5/6/2010 12:00:00 AM,B1005089,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,216 MORGAN ST NW,"THIRD FLOOR  ADDITION EXPANSION OF EXISTING ATTIC. NEW CONSTRUCTION SHALL NOT BE VISIBLE FROM MORGAN STREET NW RIGHT-OF-WAY. NEW STAIRS THIRD FLOOR TO REPLACE  EXISTING. ROOF DECK, BATHROOM, AND WET BAR. INCLUDES MECANICAL, ELECTRICAL AND PLUMBING.",0555    0081,R-4,DAVID  GARBER (AFO),45.50 (GREENBLDG); 365.00 (ALTREPAIR); 365.00 (FILINGFEE),776,ELLIOTT R GARBER,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.90632529331220,-77.01428642700130,20001,308994,423538,363145,6,6C,6C02,FIFTH,501,21,NONE,NONE,NONE,NONE
111005096,8/3/2010 12:00:00 AM,B1005096,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,1801 14TH ST NW,"ALTER EXISTING PLANT STORE INTO NEW RESTAURANT. INTERIOR RENOVATION.  INTERIOR WORK ONLY. DOES NOT INCLUDE APPROVAL FOR REPLACEMENT OF EXTERIOR WINDOWS, DOORS, OR OTHER EXTERIOR FEATURES.",0238    0818,ARTS/C-3-A,JASON  ZAWITKOWSKI (AFO),1015.00 (FILINGFEE); 1015.00 (ALTREPAIR); 130.00 (GREENBLDG); 101.50 (AAREFEE),2262,WELCH FAMILY LIMITED PARTNERSHIP FOUR,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.91424339123320,-77.03155527605440,20009,279394,121461,121461,1,1B,1B02,THIRD,305,3,NONE,NONE,NONE,NONE
111005111,10/5/2010 12:00:00 AM,B1005111,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,3111 CHANCELLOR'S WAY NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CAESE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FRIST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0869,,DAVID  FONTANA (AFO),3.54 (NEW2); 46.32 (REVISION); 231.64 (NEW1); 231.65 (FILINGFEE),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:50 AM,WASHINGTON,DC,38.92909055358270,-76.99773586185480,20017,308792,462554,397928,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005114,10/5/2010 12:00:00 AM,B1005114,CONSTRUCTION,NEW BUILDING,NA,COMPLETED,3109 CHANCELLOR'S WAY NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CAESE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FRIST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0870,,DAVID  FONTANA (AFO),3.54 (NEW2); 46.32 (REVISION); 231.64 (NEW1); 231.65 (FILINGFEE),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:50 AM,WASHINGTON,DC,38.92905551072030,-76.99770841468850,20017,308793,462556,398006,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005115,10/5/2010 12:00:00 AM,B1005115,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,3107 CHANCELLOR'S WAY NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CASE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FIRST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0871,,DAVID  FONTANA (AFO),231.64 (NEW1); 231.65 (FILINGFEE); 3.54 (NEW2); 46.32 (REVISION),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:50 AM,WASHINGTON,DC,38.92901848622160,-76.997691001223,20017,308788,462546,398003,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005118,2/3/2011 12:00:00 AM,B1005118,CONSTRUCTION,NEW BUILDING,NA,COMPLETE,540 REGENT PL NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CASE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FIRST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0819,,DAVID  FONTANA (AFO),231.65 (FILINGFEE); -231.65 (NEW1); 3.54 (NEW2); 46.32 (REVISION); 231.64 (FILINGFEE),282,"SP ASSOCIATES, LLC",5/1/2012 5:20:51 AM,WASHINGTON,DC,38.92923632562810,-76.99899213815710,20017,308844,462656,398035,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005119,2/3/2011 12:00:00 AM,B1005119,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,554 REGENT PL NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CASE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FIRST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0826,,DAVID  FONTANA (AFO),3.54 (NEW2); 46.32 (REVISION); 231.64 (NEW1); 231.65 (FILINGFEE),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:51 AM,WASHINGTON,DC,38.929211820441,-76.99872734276070,20017,308834,462636,398029,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005122,2/3/2011 12:00:00 AM,B1005122,CONSTRUCTION,NEW BUILDING,NA,COMPLETE,576 REGENT PL NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CASE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FIRST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0832,,DAVID  FONTANA (AFO),3.54 (NEW2); 46.32 (REVISION); 231.64 (NEW1); 231.65 (FILINGFEE),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:51 AM,WASHINGTON,DC,38.92932991713720,-76.99853531728970,20017,308828,462624,398026,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005125,2/3/2011 12:00:00 AM,B1005125,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,620 REGENT PL NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CASE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FIRST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0853,,DAVID  FONTANA (AFO),231.65 (FILINGFEE); 3.54 (NEW2); 46.32 (REVISION); 231.64 (NEW1),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:51 AM,WASHINGTON,DC,38.92963195477410,-76.99782891584120,20017,308807,462582,398013,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005126,2/9/2011 12:00:00 AM,B1005126,CONSTRUCTION,NEW BUILDING,NA,PERMIT ISSUED,618 REGENT PL NE,"NEW 3-STORY SFD ON VACANT LOT WITH ONE 9FT X 19FT AUTOMOBILE PARKING SPACE  AS PER Z.C. CASE NO. 07-27. (UNIT TYPE A1); ( OPTIONAL 5.33FT X 14FT FIRST FLOOR FRONT PORCH, 14FT X 4FT 2ND FLOOR REAR DECK AND 11.25FT X 2FT 3RD FLOOR REAR BAY).",3648    0852,,DAVID  FONTANA (AFO),231.65 (FILINGFEE); 46.32 (REVISION); 231.64 (NEW1); 3.54 (NEW2),513,"SP ASSOCIATES, LLC",5/1/2012 5:20:51 AM,WASHINGTON,DC,38.929665826380,-76.99784852089130,20017,308808,462584,397943,5,5C,5C09,FIFTH,502,21,NONE,NONE,NONE,NONE
111005138,4/20/2010 12:00:00 AM,B1005138,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,916 G ST NW UNIT 702,"COMBINE (2) CONDO UNITS INTO (1) UNIT, REMODEL (2) BATHROOMS, DEMO EXISTING KITCHEN AND BATH.  INTERIOR WORK ONLY. DOES NOT INCLUDE APPROVAL FOR REPLACEMENT OF EXTERIOR WINDOWS, DOORS, OR OTHER EXTERIOR FEATURES.",0376    2031,DD/C-4,KEN  MARZULLO (AFO),36.06 (GREENBLDG); 292.40 (ALTREPAIR); 292.40 (FILINGFEE),621,DANE R NIELSEN,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.89811698981150,-77.024909807698,20001,243267,86197,86197,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
111005148,8/18/2010 12:00:00 AM,B1005148,CONSTRUCTION,ALTERATION AND REPAIR,NA,PERMIT ISSUED,2100 FOXHALL RD NW,"REVISION TO BLDG. PERMIT B119069 ISSUED 10-01-2008 FOR THE NEW PELHAMHALL DORMITORY , MT VERNON CAMPUS, G.W UNIVERSITY  AS PER ATTACHED THIRD PARTY REVIEWED AND APPROVED PLANS BY SCHIRMER ENGINEERING. REVISION SHOWING 134-SEAT CAFETERIA FOR UNIVERSITY DORMITORY LOCATED IN B1 LEVEL.",1374    0850,D/R-1-A,JOHN  GIUSEPPE (AFO),33.00 (FILINGFEE); 2000.00 (REVISION),2033,THE GEORGE WASHINGTON UNIVERSITY,5/1/2012 5:20:50 AM,WASHINGTON,DC,38.918275371193,-77.09014233502330,20007,224574,67898,67898,3,3D,3D06,SECOND,205,13,NONE,NONE,NONE,NONE
