NID,CCN,REPORTDATETIME,SHIFT,OFFENSE,METHOD,LASTMODIFIEDDATE,BLOCKSITEADDRESS,LATITUDE,LONGITUDE,CITY,STATE,WARD,ANC,SMD,DISTRICT,PSA,NEIGHBORHOODCLUSTER,HOTSPOT2006NAME,HOTSPOT2005NAME,HOTSPOT2004NAME,BUSINESSIMPROVEMENTDISTRICT
1153262,12053256,4/19/2012 12:00:00 AM,UNK,THEFT F/AUTO,1,4/30/2012 10:12:03 AM,4400 B/O G ST SE,38.880215487755,-76.93787450205660,WASHINGTON,DC,7,7A,7A01,SIXTH,604,33,NONE,NONE,NONE,NONE
1153266,12053294,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,1200 B/O WISCONSIN AVE NW,38.90593759700630,-77.06286386176180,WASHINGTON,DC,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1153268,12053302,4/19/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:06 AM,1400 B/O BANGOR ST SE,38.860525889333,-76.98586813122960,WASHINGTON,DC,8,8A,8A05,SEVENTH,701,28,NONE,NONE,NONE,NONE
1153270,12053333,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,800 B/O 2ND ST NE,38.90066024464610,-77.00360374643680,WASHINGTON,DC,6,6C,6C05,FIRST,104,25,NONE,NONE,NONE,NOMA BID
1153277,12053281,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:06 AM,22ND ST NW & G ST NW,38.89832899795990,-77.048836808588,,,2,2A,2A06,SECOND,207,5,NONE,NONE,NONE,NONE
1153289,12053341,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,FORT DAVIS PL SE & Q ST SE,38.86777203622040,-76.94649369849180,WASHINGTON,DC,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,NONE
1153295,12053347,4/19/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:03 AM,4900 B/O JAY ST NE,38.90155949072980,-76.93068521857010,WASHINGTON,DC,7,7C,7C01,SIXTH,608,31,NONE,NONE,NONE,NONE
1153301,12053348,4/19/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:03 AM,700 B/O V ST NW,38.91776099570860,-77.02242251425090,WASHINGTON,DC,1,1B,1B01,THIRD,305,3,NONE,NONE,NONE,NONE
1153323,12053376,4/19/2012 12:00:00 AM,UNK,THEFT F/AUTO,1,4/30/2012 10:12:03 AM,UNIT B/O R ST NE,38.91260511858510,-77.00765376686750,WASHINGTON,DC,5,5C,5C02,FIFTH,502,21,NONE,NONE,NONE,NONE
1153330,12053362,4/19/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:03 AM,3100 B/O BUENA VISTA TER SE,38.85066572202510,-76.966461022433,WASHINGTON,DC,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,NONE
1153331,12053290,4/19/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:06 AM,1800 B/O PROVIDENCE ST NE,38.91299815538080,-76.98478325498420,WASHINGTON,DC,5,5B,5B09,FIFTH,505,23,NONE,NONE,NONE,NONE
1153342,12053390,4/19/2012 12:00:00 AM,UNK,ROBBERY,F&V,4/30/2012 10:12:03 AM,700 B/O 21ST ST NE,38.899460242281,-76.97420816897660,WASHINGTON,DC,5,5B,5B11,FIFTH,507,23,NONE,NONE,NONE,NONE
1153343,12053368,4/19/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:03 AM,5000 B/O C ST SE,38.88515528492620,-76.92952732449340,WASHINGTON,DC,7,7E,7E05,SIXTH,604,33,NONE,NONE,NONE,NONE
1153365,12053351,4/19/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:06 AM,ALABAMA AVE SE & Q ST SE,38.86888485498490,-76.94811302165880,,,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,NONE
1153373,12053393,4/19/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:03 AM,2100 B/O WISCONSIN AVE NW,38.91846072798940,-77.07001298942590,WASHINGTON,DC,3,3B,3B02,SECOND,204,14,NONE,NONE,NONE,NONE
1153383,12053396,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,1400 B/O WISCONSIN AVE NW,38.90859087660260,-77.06393268678950,WASHINGTON,DC,2,2E,2E06,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1153387,12053360,4/19/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:12:03 AM,4200 B/O 2ND ST NW,38.94274870071310,-77.01383960335520,WASHINGTON,DC,4,4C,4C10,FOURTH,407,18,NONE,NONE,NONE,NONE
1153388,12053404,4/19/2012 12:00:00 AM,UNK,ADW,KNIFE,4/30/2012 10:12:03 AM,6200 B/O NORTH DAKOTA AVE NW,38.96548125135480,-77.01526581245040,WASHINGTON,DC,4,4B,4B06,FOURTH,406,17,NONE,NONE,NONE,NONE
1153390,12053428,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,1600 B/O Q ST NW,38.91112699416130,-77.03750201845550,WASHINGTON,DC,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,NONE
1153395,12053346,4/20/2012 12:00:00 AM,UNK,BURGLARY,ATTEMPT,4/30/2012 10:12:03 AM,4200 B/O SOUTHERN AVE SE,38.86751099807320,-76.94192795528240,WASHINGTON,DC,7,7E,7E02,SIXTH,605,34,NONE,NONE,NONE,NONE
1153398,12053422,4/20/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:12:03 AM,1300 B/O OKIE ST NE,38.91421373273810,-76.986029729915,WASHINGTON,DC,5,5B,5B09,FIFTH,505,23,NONE,NONE,NONE,NONE
1153412,12053445,4/20/2012 12:00:00 AM,UNK,ADW,GUN,4/30/2012 10:12:06 AM,5300 B/O ASTOR PL SE,38.88661662945510,-76.92481209333660,WASHINGTON,DC,7,7E,7E06,SIXTH,604,33,NONE,NONE,NONE,NONE
1153415,12053447,4/19/2012 12:00:00 AM,UNK,ROBBERY,SNATCH,4/30/2012 10:12:04 AM,1800 B/O R ST NW,38.91260741896010,-77.04254835423710,WASHINGTON,DC,2,2B,2B03,SECOND,208,6,NONE,NONE,NONE,NONE
1153421,12053461,4/19/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:04 AM,1500 B/O RHODE ISLAND AVE NW,38.90768598063610,-77.03531811936840,WASHINGTON,DC,2,2B,2B05,SECOND,208,6,NONE,NONE,NONE,NONE
1153499,12053482,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:06 AM,2ND ST SE & MALCOLM X AVE SE,38.84508796920850,-77.003294757142,WASHINGTON,DC,8,8C,8C04,SEVENTH,707,39,NONE,NONE,NONE,NONE
1153505,12053497,4/20/2012 12:00:00 AM,UNK,ADW,KNIFE,4/30/2012 10:12:06 AM,1400 B/O STAPLES ST NE,38.904069062278,-76.98378395118230,WASHINGTON,DC,5,5B,5B07,FIFTH,506,23,NONE,NONE,NONE,NONE
1153517,12053512,4/20/2012 12:00:00 AM,UNK,ROBBERY,CAR JACKING - GUN,4/30/2012 10:12:04 AM,1300 B/O KENILWORTH AVE NE,38.90768737555080,-76.93780330347720,WASHINGTON,DC,7,7D,7D03,SIXTH,602,31,NONE,NONE,NONE,NONE
1153519,12053522,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,100 B/O DANBURY ST SW,38.82778979683620,-77.01125971631910,WASHINGTON,DC,8,8D,8D06,SEVENTH,708,39,NONE,NONE,NONE,NONE
1153525,12053530,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:06 AM,1300 B/O EMERSON ST NW,38.94973908638890,-77.03147734341450,WASHINGTON,DC,4,4C,4C02,FOURTH,404,18,NONE,NONE,NONE,NONE
1153532,12053511,4/20/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:12:04 AM,1400 B/O I ST NW,38.90133182902570,-77.032800843518,WASHINGTON,DC,2,2F,2F03,SECOND,207,8,NONE,NONE,NONE,DOWNTOWN BID
1153534,12053537,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:04 AM,4400 B/O HUNT PL NE,38.90066570070610,-76.93790748836830,WASHINGTON,DC,7,7C,7C04,SIXTH,602,31,NONE,NONE,NONE,NONE
1153535,12053532,4/20/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:04 AM,1400 B/O HOWARD RD SE,38.85866253234660,-76.98766736891710,WASHINGTON,DC,8,8A,8A07,SEVENTH,703,37,NONE,NONE,NONE,NONE
1153540,12053542,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,4500 B/O 1ST ST SE,38.82453994817970,-77.00563017773970,WASHINGTON,DC,8,8D,8D06,SEVENTH,708,39,NONE,NONE,NONE,NONE
1153553,12053539,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:06 AM,3500 B/O 19TH ST SE,38.84447449913080,-76.97639494470390,WASHINGTON,DC,8,8B,8B07,SEVENTH,704,38,NONE,NONE,NONE,NONE
1153554,12053570,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,2200 B/O ALABAMA AVE SE,38.85103318617420,-76.97398359623290,WASHINGTON,DC,8,8B,8B05,SEVENTH,704,38,NONE,NONE,NONE,NONE
1153555,12053568,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:06 AM,UNIT B/O MADISON ST NW,38.95870398210460,-77.01032853804170,WASHINGTON,DC,4,4B,4B08,FOURTH,406,17,NONE,NONE,NONE,NONE
1153563,12053571,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,2800 B/O 29TH ST NW,38.927421577535,-77.05760777760550,WASHINGTON,DC,3,3C,3C03,SECOND,204,15,NONE,NONE,NONE,NONE
1153565,12053595,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,900 B/O MADISON ST NW,38.95838123495950,-77.02704818394090,WASHINGTON,DC,4,4B,4B05,FOURTH,403,18,NONE,NONE,NONE,NONE
1153569,12053580,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:06 AM,1200 B/O EVARTS ST NE,38.92445512777670,-76.989188973173,WASHINGTON,DC,5,5B,5B04,FIFTH,504,22,NONE,NONE,NONE,NONE
1153571,12053604,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,4500 B/O 9TH ST NW,38.94562536252620,-77.02524812080690,WASHINGTON,DC,4,4C,4C07,FOURTH,407,18,NONE,NONE,NONE,NONE
1153573,12053588,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,1500 B/O L ST NW,38.90373906837550,-77.035557693447,WASHINGTON,DC,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,DOWNTOWN BID
1153574,12053611,4/20/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:04 AM,1900 B/O SHEPHERD ST NE,38.93965085082740,-76.977268538821,WASHINGTON,DC,5,5A,5A09,FIFTH,503,24,NONE,NONE,NONE,NONE
1153575,12053592,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,1700 B/O VERMONT AVE NW,38.91319366150510,-77.02754162398710,WASHINGTON,DC,2,2F,2F06,THIRD,307,7,NONE,NONE,NONE,NONE
1153576,12053590,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,1600 B/O 7TH ST NW,38.91178985370470,-77.02195446072730,WASHINGTON,DC,6,2C,2C01,THIRD,308,7,NONE,NONE,NONE,NONE
1153577,12053105,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3000 B/O 15TH ST NW,38.92786568912010,-77.03584759037520,WASHINGTON,DC,1,1A,1A03,THIRD,302,2,NONE,NONE,NONE,NONE
1153578,12053616,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:06 AM,2200 B/O 4TH ST NW,38.92086089058520,-77.01810383660360,WASHINGTON,DC,1,1B,1B11,THIRD,306,3,NONE,NONE,NONE,NONE
1153582,12053605,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:04 AM,800 B/O VIRGINIA AVE SE,38.87830699326030,-76.99532421792190,WASHINGTON,DC,6,6B,6B04,FIRST,106,27,NONE,NONE,NONE,CAPITOL RIVERFRONT BID
1153585,12053610,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,1300 B/O MISSOURI AVE NW,38.96169562362840,-77.03081268886540,WASHINGTON,DC,4,4A,4A06,FOURTH,402,17,NONE,NONE,NONE,NONE
1153586,12053626,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,UNIT B/O 18TH ST SE,38.88923532397060,-76.978993398599,WASHINGTON,DC,6,6B,6B10,FIRST,108,26,NONE,NONE,NONE,NONE
1153587,12053629,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:04 AM,6000 B/O DIX ST NE,38.89447289739260,-76.91435287121210,WASHINGTON,DC,7,7C,7C05,SIXTH,608,31,NONE,NONE,NONE,NONE
1153589,12053624,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3000 B/O M ST NW,38.90517785718110,-77.06007777798770,WASHINGTON,DC,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1153593,12053558,4/20/2012 12:00:00 AM,UNK,ROBBERY,KNIFE,4/30/2012 10:12:04 AM,1400 B/O POTOMAC AVE SE,38.88075346140020,-76.98444113746620,WASHINGTON,DC,6,6B,6B06,FIRST,108,26,NONE,NONE,NONE,CAPITOL HILL BID
1153595,12053560,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3600 B/O CANAL RD NW,38.90547159606810,-77.07535910081710,WASHINGTON,DC,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1153596,12053632,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:04 AM,1300 B/O Q ST NW,38.91107079688420,-77.03078505315810,WASHINGTON,DC,2,2F,2F01,THIRD,307,7,NONE,NONE,NONE,NONE
1153598,12053606,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,200 B/O MISSOURI AVE NW,38.95658567730480,-77.01465819662950,WASHINGTON,DC,4,4D,4D02,FOURTH,403,18,NONE,NONE,NONE,NONE
1153600,12053646,4/20/2012 12:00:00 AM,UNK,ADW,KNIFE,4/30/2012 10:12:04 AM,1800 B/O WEST VIRGINIA AVE NE,38.91088646820380,-76.98528706000130,WASHINGTON,DC,5,5B,5B09,FIFTH,505,23,NONE,NONE,NONE,NONE
1153604,12053637,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:06 AM,1200 B/O NEW YORK AVE NW,38.90048017329540,-77.02885346009350,WASHINGTON,DC,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
1153606,12053612,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:04 AM,1300 B/O EMERSON ST NW,38.94973908638890,-77.03147734341450,WASHINGTON,DC,4,4C,4C02,FOURTH,404,18,NONE,NONE,NONE,NONE
1153609,12053603,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,1,4/30/2012 10:12:06 AM,STANTON RD SE & SUITLAND PKY SE,38.85329734534190,-76.983302626009,WASHINGTON,DC,8,8B,8B04,SEVENTH,704,37,NONE,NONE,NONE,NONE
1153610,12053593,4/20/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:04 AM,200 B/O 7TH ST SE,38.88671325667740,-76.99619064179370,WASHINGTON,DC,6,6B,6B02,FIRST,107,26,NONE,NONE,NONE,CAPITOL HILL BID
1153611,12053617,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,2,4/30/2012 10:12:06 AM,200 B/O OGLETHORPE ST NW,38.96131439353630,-77.015532459889,WASHINGTON,DC,4,4B,4B06,FOURTH,406,17,NONE,NONE,NONE,NONE
1153612,12053669,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:04 AM,4100 B/O ALABAMA AVE SE,38.87123940670810,-76.94113541413960,WASHINGTON,DC,7,7B,7B07,SIXTH,605,34,NONE,NONE,NONE,NONE
1153621,12053663,4/20/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:04 AM,2000 B/O GEORGIA AVE NW,38.917010448565,-77.02189473764020,WASHINGTON,DC,1,1B,1B01,THIRD,306,3,NONE,NONE,NONE,NONE
1153622,12053671,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,1800 B/O BENNING RD NE,38.89899452810020,-76.97699005118090,WASHINGTON,DC,5,5B,5B11,FIFTH,507,23,NONE,NONE,NONE,NONE
1153624,12053253,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3000 B/O M ST NW,38.90517785718110,-77.06007777798770,WASHINGTON,DC,2,2E,2E05,SECOND,206,4,NONE,NONE,NONE,GEORGETOWN BID
1153626,12053660,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,1300 B/O CONNECTICUT AVE NW,38.90992746957070,-77.04360677639290,WASHINGTON,DC,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
1153629,12053668,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3100 B/O WISCONSIN AVE NW,38.93220838131720,-77.07259555423240,WASHINGTON,DC,3,3C,3C07,SECOND,204,14,NONE,NONE,NONE,NONE
1153631,12053647,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,4300 B/O C ST SE,38.88650802254370,-76.94279387315730,WASHINGTON,DC,7,7A,7A02,SIXTH,603,32,NONE,NONE,NONE,NONE
1153637,12053658,4/20/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:04 AM,100 B/O GALVESTON PL SW,38.82439182682690,-77.01099776763840,WASHINGTON,DC,8,8D,8D04,SEVENTH,708,39,NONE,NONE,NONE,NONE
1153642,12053645,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,4900 B/O EAST CAPITOL ST,38.88976233049570,-76.93102057586580,WASHINGTON,DC,7,7E,7E05,SIXTH,604,33,NONE,NONE,NONE,NONE
1153659,12053686,4/20/2012 12:00:00 AM,UNK,BURGLARY,1,4/30/2012 10:12:04 AM,200 B/O DOUGLAS ST NE,38.92342884304390,-77.00279535203960,WASHINGTON,DC,5,5C,5C08,FIFTH,502,21,NONE,NONE,NONE,NONE
1153661,12053691,4/20/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:04 AM,3200 B/O BUENA VISTA TER SE,38.85119677073020,-76.96676159707510,WASHINGTON,DC,8,8B,8B02,SEVENTH,702,36,NONE,NONE,NONE,NONE
1153662,12053380,4/20/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:04 AM,800 B/O 16TH ST NW,38.90077262032360,-77.03655017198450,WASHINGTON,DC,2,2B,2B05,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
1153665,12053707,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:04 AM,700 B/O MARYLAND AVE NE,38.89518476478020,-76.995563746492,WASHINGTON,DC,6,6C,6C06,FIRST,104,25,NONE,NONE,NONE,NONE
1153669,12053676,4/20/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:06 AM,1500 B/O D ST NE,38.89477625470910,-76.98292979761670,WASHINGTON,DC,6,6A,6A05,FIFTH,507,25,NONE,NONE,NONE,NONE
1153670,12053685,4/20/2012 12:00:00 AM,UNK,ROBBERY,ASSAULT W/INTENT,4/30/2012 10:12:06 AM,2600 B/O BLADENSBURG RD NE,38.92397543237530,-76.96666886094710,WASHINGTON,DC,5,5B,5B09,FIFTH,503,22,NONE,NONE,NONE,NONE
1153675,12053722,4/20/2012 12:00:00 AM,UNK,THEFT,1,4/30/2012 10:12:06 AM,5200 B/O D ST SE,38.88346216098230,-76.92705497092320,WASHINGTON,DC,7,7E,7E05,SIXTH,604,33,NONE,NONE,NONE,NONE
1153689,12053714,4/20/2012 12:00:00 AM,UNK,THEFT,SHOPLIFTING,4/30/2012 10:12:04 AM,1200 B/O G ST NW,38.89831394536030,-77.02884898144240,WASHINGTON,DC,2,2F,2F03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
1153703,12053733,4/20/2012 12:00:00 AM,UNK,ROBBERY,SNATCH,4/30/2012 10:12:04 AM,1ST ST NW & W ST NW,38.919177217089,-77.01214902413160,WASHINGTON,DC,5,5C,5C04,FIFTH,501,21,NONE,NONE,NONE,NONE
1153711,12053785,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3900 B/O MINNESOTA AVE NE,38.89445441075790,-76.949678736435,WASHINGTON,DC,7,7A,7A06,SIXTH,603,32,NONE,NONE,NONE,NONE
1153714,12053786,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,3900 B/O MINNESOTA AVE NE,38.89445441075790,-76.949678736435,WASHINGTON,DC,7,7A,7A06,SIXTH,603,32,NONE,NONE,NONE,NONE
1153719,12053742,4/20/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:04 AM,5000 B/O HUNT ST NE,38.90104934740180,-76.92915532371350,WASHINGTON,DC,7,7C,7C01,SIXTH,608,31,NONE,NONE,NONE,NONE
1153729,12053765,4/20/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:04 AM,1200 B/O HAMILTON ST NW,38.95290439517690,-77.028634571903,WASHINGTON,DC,4,4C,4C02,FOURTH,403,18,NONE,NONE,NONE,NONE
1153752,12053792,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:04 AM,3100 B/O AMES PL NE,38.92041418651750,-76.96256913346140,WASHINGTON,DC,5,5B,5B09,FIFTH,503,24,NONE,NONE,NONE,NONE
1153758,12053755,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,UNIT B/O KENNEDY ST NW,38.956586714884,-77.00917363143190,WASHINGTON,DC,4,4B,4B08,FOURTH,406,17,NONE,NONE,NONE,NONE
1153759,12053358,4/19/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:04 AM,1400 B/O P ST NW,38.90965161600920,-77.033254330004,WASHINGTON,DC,2,2F,2F01,SECOND,208,7,NONE,NONE,NONE,NONE
1153766,12053750,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:06 AM,UNIT B/O FORRESTER ST SW,38.82513436828920,-77.00800945227150,WASHINGTON,DC,8,8D,8D04,SEVENTH,708,39,NONE,NONE,NONE,NONE
1153775,12053839,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,1700 B/O CONNECTICUT AVE NW,38.91334467446440,-77.045588843219,WASHINGTON,DC,2,2B,2B02,SECOND,208,6,NONE,NONE,NONE,NONE
1153783,12053842,4/20/2012 12:00:00 AM,UNK,ROBBERY,SNATCH,4/30/2012 10:12:03 AM,900 B/O H ST NW,38.89981318059750,-77.02497936723590,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
1153787,12053717,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:03 AM,7TH ST NW & M ST NW,38.90564349436080,-77.02191414253450,WASHINGTON,DC,2,2C,2C03,THIRD,308,8,NONE,NONE,NONE,NONE
1153789,12053704,4/20/2012 12:00:00 AM,UNK,ROBBERY,GUN,4/30/2012 10:12:03 AM,3100 B/O GEORGIA AVE NW,38.92952949054920,-77.02329803522450,WASHINGTON,DC,1,1A,1A10,THIRD,302,2,NONE,NONE,GEORGIA AVE NW,NONE
1153790,12053861,4/20/2012 12:00:00 AM,UNK,STOLEN AUTO,STOLEN AUTO,4/30/2012 10:12:03 AM,2200 B/O MINNESOTA AVE SE,38.87179156308640,-76.97408982441390,WASHINGTON,DC,8,8A,8A01,SIXTH,607,34,NONE,NONE,NONE,NONE
1153803,12053873,4/20/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:12:03 AM,1800 B/O I ST NE,38.90170080992780,-76.976858041888,WASHINGTON,DC,5,5B,5B11,FIFTH,507,23,NONE,NONE,NONE,NONE
1153805,12053812,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,100 B/O IRVING ST NW,38.93013234332640,-77.01672186241210,WASHINGTON,DC,5,5C,5C07,FOURTH,405,21,NONE,NONE,NONE,NONE
1153807,12053871,4/20/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:12:03 AM,1000 B/O BRENTWOOD RD NE,38.9189991884,-76.99169172422850,WASHINGTON,DC,5,5B,5B03,FIFTH,505,22,NONE,NONE,NONE,NONE
1153812,12053730,4/20/2012 12:00:00 AM,UNK,ROBBERY,STEALTH,4/30/2012 10:12:03 AM,900 B/O 19TH ST NW,38.90193008071320,-77.04345850166730,WASHINGTON,DC,2,2B,2B06,SECOND,207,6,NONE,NONE,NONE,GOLDEN TRIANGLE BID
1153817,12053864,4/20/2012 12:00:00 AM,UNK,ROBBERY,F&V,4/30/2012 10:12:03 AM,600 B/O MISSISSIPPI AVE SE,38.83798141533620,-76.99748075829810,WASHINGTON,DC,8,8E,8E06,SEVENTH,705,39,NONE,NONE,NONE,NONE
1153822,12053856,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:06 AM,1200 B/O IRVING ST NW,38.92863210049560,-77.02893700381730,WASHINGTON,DC,1,1A,1A11,THIRD,302,2,NONE,NONE,NONE,NONE
1153826,12053893,4/20/2012 12:00:00 AM,UNK,BURGLARY,2,4/30/2012 10:12:06 AM,1400 B/O BANGOR ST SE,38.860525889333,-76.98586813122960,WASHINGTON,DC,8,8A,8A05,SEVENTH,701,28,NONE,NONE,NONE,NONE
1153835,12053690,4/20/2012 12:00:00 AM,UNK,THEFT F/AUTO,1,4/30/2012 10:12:06 AM,UNIT B/O 6TH ST NE,38.890363728410,-76.99848194207050,WASHINGTON,DC,6,6C,6C07,FIRST,107,26,NONE,NONE,NONE,NONE
1153843,12053863,4/20/2012 12:00:00 AM,UNK,ADW,OTHER,4/30/2012 10:12:06 AM,3100 B/O ALABAMA AVE SE,38.86148060382910,-76.96269437662740,WASHINGTON,DC,7,7B,7B02,SIXTH,606,35,NONE,NONE,NONE,NONE
1153851,12053922,4/20/2012 12:00:00 AM,UNK,THEFT,2,4/30/2012 10:12:03 AM,1000 B/O F ST NW,38.89734793082480,-77.02650845453140,WASHINGTON,DC,2,2C,2C03,FIRST,101,8,NONE,NONE,NONE,DOWNTOWN BID
